segment_id,road_name,corridor,mean_elevation_m,elev_range_m,mean_slope_deg,max_slope_deg,terrain_roughness,mean_curvature,stream_proximity_pct,mean_disp_mm,max_disp_mm,mean_coherence,rock_class,AADT_2022,truck_pct,truck_AADT,std_disp_mm,low_coh_pct,rock_risk_score,geology_enc,landcover_enc,known_unstable,rf_prob,risk_score,risk_category
1065,I-75,I-75,339.4,82.5,5.04,15.12,16.9,0.0049,10.6,-2.3,-4.6,0.687,carbonate,40600,22.6,9175,0.69,31.3,2,0,2,0,0.0,0.1457,Low
1066,I-75,I-75,372.8,165.4,7.21,18.77,23.17,0.006,10.5,-5.04,-10.08,0.587,carbonate,41641,20.6,8578,1.51,41.3,2,0,2,1,0.804411915464416,0.4995,Moderate
1067,I-75,I-75,407.5,135.1,6.17,18.77,20.23,0.0047,10.6,-4.09,-8.18,0.584,carbonate,39723,25.7,10208,1.23,41.6,2,0,2,0,0.10506514338114052,0.2304,Low
1068,I-75,I-75,410.8,76.0,4.91,12.99,14.94,-0.0032,10.8,-2.61,-5.22,0.642,carbonate,41561,22.9,9517,0.78,35.8,2,0,2,0,0.0,0.1494,Low
1069,I-75,I-75,389.6,100.4,5.0,12.99,15.39,0.0063,10.6,-5.31,-10.62,0.663,carbonate,40823,19.6,8001,1.59,33.7,2,0,2,0,0.0,0.1833,Low
1070,I-75,I-75,358.4,85.1,3.05,10.14,9.88,-0.0016,11.0,-2.82,-5.64,0.657,carbonate,39537,23.3,9212,0.85,34.3,2,0,2,0,0.0,0.1345,Low
1071,I-75,I-75,340.0,34.1,1.67,5.14,5.39,-0.005,11.0,0.05,0.1,0.682,carbonate,41272,20.1,8295,0.02,31.8,2,0,2,0,0.0,0.0777,Low
1072,I-75,I-75,337.0,30.8,1.87,5.32,5.81,0.0034,10.5,-2.19,-4.38,0.723,carbonate,43262,23.6,10209,0.66,27.7,2,0,2,0,0.0,0.1073,Low
1073,I-75,I-75,340.6,114.8,4.19,16.77,13.52,-0.0138,10.6,-5.42,-10.84,0.664,carbonate,41126,24.3,9993,1.63,33.6,2,0,2,0,0.036458333333333336,0.1967,Low
1074,I-75,I-75,361.1,127.2,6.28,16.77,20.78,-0.0066,11.0,-5.6,-11.2,0.597,carbonate,43751,20.4,8925,1.68,40.3,2,0,2,0,0.13092753262588266,0.2582,Moderate
