segment_id,cluster,risk_category_unsup,risk_score_unsup,pca1,pca2
181,1,Low,0.4346,0.2103709177392559,-1.6931690896475633
182,1,Low,0.4321,0.09017129804409756,-1.8038360587472244
183,1,Low,0.4164,0.5418383316137925,-2.080137560104334
184,1,Low,0.4062,0.974441021502515,-2.6107772699277962
185,1,Low,0.4103,0.4506901193639955,-2.273831995039829
186,1,Low,0.4412,-0.16047806673710374,-1.6804924717598917
187,1,Low,0.449,-0.21466628895060116,-1.3780270854501109
188,1,Low,0.4406,0.014876096978251808,-1.5941416581059138
189,1,Low,0.4152,0.5076463970817862,-2.2319443524792315
190,1,Low,0.4546,0.7477148063317894,-2.593402131524777
191,1,Low,0.4629,0.4435960985040872,-2.5567653295931607
192,1,Low,0.4778,0.696665175082604,-2.577699277899798
193,1,Low,0.4877,-0.1223132906255987,-1.9549578257315612
194,1,Low,0.4882,-0.40591037004835073,-1.6754697183307177
195,1,Low,0.5039,-0.29115858190525223,-1.6652870003956743
196,1,Low,0.5202,-0.7229877349330857,-1.417058855526379
197,1,Low,0.5038,-0.6960801046265919,-1.3218448400734484
198,1,Low,0.4995,-0.06966614681725425,-1.778692138233222
199,1,Low,0.488,0.04986371335576584,-2.0933294536845963
200,1,Low,0.486,0.10073452131288763,-1.9820067883321022
201,1,Low,0.4872,0.20308342573258062,-2.3089972149761313
202,1,Low,0.48,0.6608217909975865,-2.4945321904466793
203,1,Low,0.4862,0.7471986420938197,-2.4366825805771053
204,1,Low,0.4923,-0.08317035796051371,-2.155313953003726
205,1,Low,0.4925,-0.42033925107537123,-1.6992808950678302
206,1,Low,0.4698,-0.3982563862387403,-2.1041430646120274
207,1,Low,0.4823,-0.43917415225341644,-2.116276569189702
208,1,Low,0.4857,-0.4791352005977026,-1.989878057954966
209,1,Low,0.4751,-0.41822799688488144,-2.1634455931224705
210,1,Low,0.5001,-0.07162900924277806,-2.316088286297244
211,1,Low,0.4637,0.06268805285367789,-2.570818871897116
212,1,Low,0.4711,0.29379423053668585,-2.6350594116064388
213,1,Low,0.4732,0.231284851758186,-2.6355481515319936
214,1,Low,0.4736,0.14838427322571088,-2.56031992356982
215,1,Low,0.461,0.09003823996218287,-2.647121540440958
216,1,Low,0.4716,-0.09427138391173673,-2.4678670619094745
217,1,Low,0.4719,-0.4234465168610506,-2.2175933797568237
218,1,Low,0.4836,-0.34769867310388647,-2.1253387531144425
219,1,Low,0.4719,-0.3102045023937797,-2.239059559881481
220,1,Low,0.463,0.1709681285011985,-2.6282979177640584
221,1,Low,0.471,0.9037129558986218,-3.010456577754448
222,1,Low,0.4376,0.3231108416092907,-2.73325530984051
223,1,Low,0.4652,0.20582254855565216,-2.6929867621808623
224,1,Low,0.4666,0.678299681576333,-2.4534899632444573
225,1,Low,0.4662,0.8063872080435928,-2.729304659848061
226,1,Low,0.4763,0.7175486330322693,-2.8170945019220928
227,1,Low,0.4716,0.7440935507681737,-2.747202292146715
228,1,Low,0.4672,0.24464893304100246,-2.395837698884382
229,1,Low,0.4788,0.32735559448985885,-2.2830070808112533
230,1,Low,0.4838,0.6070029569016702,-2.4654445904921896
231,1,Low,0.4658,1.0300217504756306,-2.679723208271474
232,1,Low,0.4808,0.7346623666721293,-2.564392780492319
233,1,Low,0.5024,-0.06520714964421644,-1.929101299202152
234,1,Low,0.5197,-0.4364639347441683,-1.498288691665252
235,1,Low,0.5358,-0.6059399622511239,-1.6406783387088726
236,1,Low,0.537,-0.8125043439179264,-1.1010085324210868
237,1,Low,0.5085,-0.9952609446264119,-0.9535216635779568
238,1,Low,0.5313,-0.3361070854446519,-1.2719697946568584
239,1,Low,0.5255,-0.08391757174584293,-1.2028598809719218
240,1,Low,0.5575,-0.6949377322877757,-0.6728987481388039
241,1,Low,0.5532,-1.0956930840035837,-0.49799633793503945
242,2,High,0.5917,-1.9749292014234914,0.5187197082619216
243,2,High,0.6202,-2.328222048505706,1.075634290335397
244,2,High,0.636,-2.7337053244296814,1.3292636813692968
245,2,High,0.5971,-2.2531850330866443,0.7720438605643715
246,1,Low,0.5283,-1.2786148150198697,-0.27977800030716743
247,1,Low,0.5358,-0.7525646010839127,-0.7563180189881018
248,1,Low,0.497,-0.6097373906912124,-1.1856718780721718
249,1,Low,0.5128,-0.7998042557844842,-1.1881506023890918
250,1,Low,0.5075,-0.7033373639437482,-1.2294822833135157
251,1,Low,0.4955,-0.8990437146670275,-1.1697891409503274
252,1,Low,0.5158,-0.9470742135248866,-0.9268222414431014
253,1,Low,0.5133,-1.4617943471671289,-0.4434918546756912
254,2,High,0.4563,-1.7480897783029827,-0.059052825103216945
255,1,Low,0.5031,-1.3524081880071928,-0.749126483771977
256,1,Low,0.4784,-0.27551330876258917,-1.6504448097636062
257,1,Low,0.4762,-0.2541660447503536,-1.6883400095604164
258,2,High,0.5055,-2.013449151895249,-0.1290095548051597
259,2,High,0.638,-4.146267383541477,2.081607920645495
260,2,High,0.6218,-3.8661425489396506,1.8803274184942693
261,2,High,0.598,-4.025582909866874,1.8257979480038375
262,2,High,0.6094,-3.751532459208003,1.7308005414485739
263,2,High,0.6285,-4.3634204303066575,2.153599547411709
264,2,High,0.6596,-4.792888070645733,2.485093018243659
265,2,High,0.6575,-4.5918304173261895,2.528847420107703
266,2,High,0.6209,-4.206149497921685,1.7457983238904713
267,2,High,0.605,-3.580908457473883,1.2541296545097538
268,2,High,0.5852,-3.914472127663582,1.605203849341368
269,2,High,0.589,-3.0947181021146184,1.0370126514282763
270,2,High,0.6095,-3.610971784493281,1.4856700293518001
271,2,High,0.5785,-2.9050116778603035,0.9473982127061712
272,2,High,0.5951,-3.8522312334422666,1.72262132048751
273,2,High,0.6292,-4.408308385187093,2.1866234282362016
274,2,High,0.5998,-3.4912945284112604,1.8002875521328214
275,2,High,0.5609,-2.8430585261378263,0.7800779541346404
276,2,High,0.5792,-2.8939295232170434,0.6997242762780455
277,2,High,0.6023,-3.2636939799332207,1.0916705753749862
278,2,High,0.6231,-3.989625913369541,1.8034881710305097
279,2,High,0.6668,-5.020476848478013,2.7146058949753784
280,2,High,0.6469,-4.801391269681066,2.4139666023172377
281,2,High,0.6112,-3.894289303958477,1.748544434975489
282,2,High,0.5751,-2.751627740449064,0.8609871112233304
283,1,Low,0.4637,-1.6828278568954254,-0.15348689764969625
284,1,Low,0.4964,-1.724153092610415,-0.5362783880313047
285,2,High,0.5117,-2.2530483475578396,-0.2053404320746323
286,2,High,0.5389,-2.91508122998824,0.26866976277634014
287,2,High,0.5518,-2.971914700978515,0.4330347700278081
288,2,High,0.5635,-3.0742159319171676,0.6733239842170813
289,2,High,0.5769,-2.5761159798393396,0.9282095269490548
290,2,High,0.5046,-2.4279232185359705,-0.23166260178230966
291,2,High,0.4589,-2.135278828322002,-0.09219418783006458
292,1,Low,0.4433,-2.123386050032039,-1.4532948715388387
293,2,High,0.4528,-2.86544310100306,-0.8432610794735241
294,2,High,0.5043,-3.403099320293251,-0.45177617455501157
295,2,High,0.499,-3.6310493156184966,-0.28043726809147024
296,2,High,0.4969,-3.4040245803983367,-0.15044710549350723
297,2,High,0.5176,-3.792571764180863,0.16138857675910553
298,2,High,0.5548,-4.889987512447602,1.07312329851205
299,2,High,0.5285,-4.226576249982956,0.3434074266683324
300,2,High,0.4326,-2.879719755875672,-0.8016978844792556
301,2,High,0.5836,-5.613388994763389,2.0799868961083687
302,2,High,0.5793,-5.586710941654255,1.828705609931878
303,2,High,0.566,-5.043353028168129,1.0887783043131418
304,2,High,0.564,-4.710814180552221,0.8758380614320862
305,2,High,0.5637,-4.7662001467620305,0.8325916205982435
306,2,High,0.5269,-4.31452854553001,0.26771913629808275
307,2,High,0.5249,-4.123618855681164,0.41282655305515376
308,2,High,0.5498,-4.388266506128026,0.34214797640943956
309,2,High,0.5608,-4.767695674545948,1.0790461220617757
310,2,High,0.5458,-4.601262385836848,1.266925826802081
311,2,High,0.5716,-5.137239454088538,1.5090748739610347
312,2,High,0.6062,-6.025616768757905,2.2059811531000815
313,2,High,0.5521,-4.907222378215075,1.0102382909072145
314,2,High,0.4918,-3.143331668176387,-0.20201360471504903
315,1,Low,0.4475,-2.286105482595433,-1.2906770112833714
316,1,Low,0.4343,-2.40329061672261,-1.23120208798431
317,1,Low,0.4017,-2.3868208061318663,-1.2072686455678654
318,1,Low,0.4387,-2.298207388437395,-1.3229910678823917
